bench,seed_rng,policy_name,bandit_reward,final_cost,chi,iterations_used,constraint_violation,budget_accounted,allocated,best_seed,feasible,wall_ms
nav2d_hard,42,Uniform,feas_improve,2611,0.00138742,160,0.656213,1,160,5,0,713.785
nav2d_hard,42,UCB,feas_improve,1231.19,0.183112,160,0.0168341,1,160,2,0,1044.47
nav2d_hard,42,BO-EI,feas_improve,1231.19,0.183112,160,0.0168341,1,160,2,0,798.402
nav2d_hard,42,Greedy-s_r,feas_improve,1231.19,0.183112,160,0.0168341,1,160,2,0,811.205
nav2d_hard,42,Greedy-χ,feas_improve,1825.2,0.196462,160,0.531305,1,160,2,0,897.091
nav2d_hard,43,Uniform,feas_improve,1576.06,6.31842e-05,160,0.208368,1,160,0,0,661.885
nav2d_hard,43,UCB,feas_improve,1045.98,0.405363,160,0,1,160,0,1,725.881
nav2d_hard,43,BO-EI,feas_improve,1045.98,0.405363,160,0,1,160,0,1,1000.5
nav2d_hard,43,Greedy-s_r,feas_improve,1045.98,0.405363,160,0,1,160,0,1,739.956
nav2d_hard,43,Greedy-χ,feas_improve,1207.41,0.516434,160,0.358017,1,160,2,0,676.212
nav2d_hard,44,Uniform,feas_improve,2275.92,0.000798096,160,0.105517,1,160,3,0,624.525
nav2d_hard,44,UCB,feas_improve,1136.96,0.489042,160,0.033136,1,160,2,0,689.15
nav2d_hard,44,BO-EI,feas_improve,1136.96,0.489042,160,0.033136,1,160,2,0,747.168
nav2d_hard,44,Greedy-s_r,feas_improve,1136.96,0.489042,160,0.033136,1,160,2,0,682.974
nav2d_hard,44,Greedy-χ,feas_improve,1275.46,0.492342,160,0.0531491,1,160,2,0,688.238
nav2d_hard,45,Uniform,feas_improve,1894.54,0.0129823,160,0.0661233,1,160,5,0,718.93
nav2d_hard,45,UCB,feas_improve,1432.87,0.69321,160,0,1,160,5,1,710.226
nav2d_hard,45,BO-EI,feas_improve,1432.87,0.69321,160,0,1,160,5,1,703.216
nav2d_hard,45,Greedy-s_r,feas_improve,1432.87,0.69321,160,0,1,160,5,1,706.607
nav2d_hard,45,Greedy-χ,feas_improve,1678.91,0.129303,160,0,1,160,2,1,704.241
nav2d_hard,46,Uniform,feas_improve,1655.38,0.000712083,160,0.493024,1,160,6,0,902.632
nav2d_hard,46,UCB,feas_improve,3090.47,0.113234,160,0.364726,1,160,0,0,1235.95
nav2d_hard,46,BO-EI,feas_improve,3090.47,0.113234,160,0.364726,1,160,0,0,739.737
nav2d_hard,46,Greedy-s_r,feas_improve,3090.47,0.113234,160,0.364726,1,160,0,0,702.754
nav2d_hard,46,Greedy-χ,feas_improve,1106.64,0.0370813,160,0.227115,1,160,2,0,653.671
