seed,side,cum_iters,cost
0,U,2,2006.1
0,U,4,1552.85
0,U,6,1171.17
0,U,8,872.905
0,U,10,700.926
0,U,12,591.84
0,U,14,530.355
0,U,16,492.454
0,U,18,492.414
0,U,20,492.414
0,U,22,492.414
0,U,24,492.414
0,U,26,492.414
0,U,28,492.414
1,U,2,2140.67
1,U,4,1608.77
1,U,6,753.064
1,U,8,622.233
1,U,10,553.18
1,U,12,526.902
1,U,14,526.892
1,U,16,526.892
1,U,18,526.892
1,U,20,526.892
1,U,22,526.892
1,U,24,526.892
1,U,26,526.892
1,U,28,526.892
2,U,2,2137.76
2,U,4,1507.86
2,U,6,767.414
2,U,8,672.728
2,U,10,531.623
2,U,12,531.623
2,U,14,531.623
2,U,16,531.623
2,U,18,531.623
2,U,20,531.623
2,U,22,531.623
2,U,24,531.623
2,U,26,531.623
2,U,28,531.623
3,U,2,2869.21
3,U,4,1379.34
3,U,6,661.1
3,U,8,560.771
3,U,10,508.436
3,U,12,508.43
3,U,14,508.43
3,U,16,508.43
3,U,18,508.43
3,U,20,508.43
3,U,22,508.43
3,U,24,508.43
3,U,26,508.43
3,U,28,508.43
4,D,2,5194.89
4,D,4,2139.66
4,D,6,986.606
4,D,8,541.346
4,D,10,432.134
4,D,12,405.97
4,D,14,343.292
4,D,16,343.292
4,D,18,343.292
4,D,20,343.292
4,D,22,343.292
4,D,24,343.292
4,D,26,343.292
4,D,28,343.292
5,D,2,2470.64
5,D,4,2470.64
5,D,6,2470.64
5,D,8,2470.64
5,D,10,2470.64
5,D,12,2470.64
5,D,14,2470.64
5,D,16,2470.64
5,D,18,2470.64
5,D,20,2470.64
5,D,22,2470.64
5,D,24,2470.64
5,D,26,2470.64
5,D,28,2470.64
6,D,2,1700.69
6,D,4,1086.15
6,D,6,735.149
6,D,8,471.464
6,D,10,378.373
6,D,12,296.596
6,D,14,251.922
6,D,16,228.815
6,D,18,207.736
6,D,20,190.719
6,D,22,176.598
6,D,24,167.505
6,D,26,167.489
6,D,28,167.489
7,D,2,3373.84
7,D,4,1283.02
7,D,6,808.764
7,D,8,714.928
7,D,10,714.928
7,D,12,714.928
7,D,14,714.928
7,D,16,714.928
7,D,18,714.928
7,D,20,714.928
7,D,22,714.928
7,D,24,714.928
7,D,26,714.928
7,D,28,714.928
