bench,seed_rng,policy_name,bandit_reward,final_cost,chi,iterations_used,constraint_violation,budget_accounted,allocated,best_seed,feasible,wall_ms
planar5,42,Uniform,feas_improve,480.579,4.57536e-07,80,0,1,80,1,1,329.025
planar5,42,UCB,feas_improve,214.059,2.81766e-07,80,0,1,80,5,1,299.124
planar5,42,BO-EI,feas_improve,177.361,2.04658e-07,80,0,1,80,5,1,316.184
planar5,42,Greedy-s_r,feas_improve,177.361,2.04658e-07,80,0,1,80,5,1,355.688
planar5,42,Greedy-χ,feas_improve,380.344,3.15811e-06,80,0,1,80,4,1,305.791
planar5,43,Uniform,feas_improve,499.861,6.17538e-07,80,0,1,80,1,1,585.654
planar5,43,UCB,feas_improve,467.775,0.0442693,80,0,1,80,1,1,606.248
planar5,43,BO-EI,feas_improve,467.775,0.0442693,80,0,1,80,1,1,639.013
planar5,43,Greedy-s_r,feas_improve,467.775,0.0442693,80,0,1,80,1,1,581.316
planar5,43,Greedy-χ,feas_improve,419.762,0.0109382,80,0,1,80,6,1,499.902
planar5,44,Uniform,feas_improve,280.017,7.79897e-07,80,0,1,80,2,1,466.023
planar5,44,UCB,feas_improve,149.349,2.04817e-07,80,0,1,80,6,1,551.027
planar5,44,BO-EI,feas_improve,149.349,2.04817e-07,80,0,1,80,6,1,546.368
planar5,44,Greedy-s_r,feas_improve,149.349,2.04817e-07,80,0,1,80,6,1,438.328
planar5,44,Greedy-χ,feas_improve,326.39,2.00902e-06,80,0,1,80,7,1,410.437
planar5,45,Uniform,feas_improve,480.024,4.57871e-07,80,0.000874069,1,80,2,1,446.734
planar5,45,UCB,feas_improve,177.2,3.03505e-07,80,0,1,80,4,1,477.215
planar5,45,BO-EI,feas_improve,177.2,3.03505e-07,80,0,1,80,4,1,459.019
planar5,45,Greedy-s_r,feas_improve,177.2,3.03505e-07,80,0,1,80,4,1,503.558
planar5,45,Greedy-χ,feas_improve,456.527,5.13895e-07,80,0.000670806,1,80,7,1,551.014
planar5,46,Uniform,feas_improve,429.125,4.53448e-07,80,0.000641567,1,80,1,1,457.931
planar5,46,UCB,feas_improve,376.832,1.03604e-05,80,0,1,80,7,1,516.463
planar5,46,BO-EI,feas_improve,376.832,1.03604e-05,80,0,1,80,7,1,496.87
planar5,46,Greedy-s_r,feas_improve,376.832,1.03604e-05,80,0,1,80,7,1,510.005
planar5,46,Greedy-χ,feas_improve,429.114,0.00273031,80,0,1,80,1,1,461.694
