bench,seed_rng,policy_name,bandit_reward,final_cost,chi,iterations_used,constraint_violation,budget_accounted,allocated,best_seed,feasible,wall_ms
quadruped,42,Uniform,feas_improve,11.0121,2.67068,80,0,1,80,5,1,1341.01
quadruped,42,UCB,feas_improve,11.0121,2.67068,80,0,1,80,5,1,1424.26
quadruped,42,BO-EI,feas_improve,11.0121,2.67068,80,0,1,80,5,1,2623.87
quadruped,42,Greedy-s_r,feas_improve,11.0121,2.67068,80,0,1,80,5,1,2539.42
quadruped,42,Greedy-χ,feas_improve,11.0121,2.67068,80,0,1,80,5,1,1995
quadruped,43,Uniform,feas_improve,10.3068,2.67068,80,0,1,80,4,1,1788.01
quadruped,43,UCB,feas_improve,10.3068,2.67068,80,0,1,80,4,1,1628.99
quadruped,43,BO-EI,feas_improve,10.3068,2.67068,80,0,1,80,4,1,1973
quadruped,43,Greedy-s_r,feas_improve,10.3068,2.67068,80,0,1,80,4,1,1902.91
quadruped,43,Greedy-χ,feas_improve,11.766,2.67068,80,0,1,80,5,1,1978.37
quadruped,44,Uniform,feas_improve,10.8583,2.67068,80,0,1,80,4,1,1779.76
quadruped,44,UCB,feas_improve,10.8583,2.67068,80,0,1,80,4,1,1997.3
quadruped,44,BO-EI,feas_improve,10.8583,2.67068,80,0,1,80,4,1,1931.23
quadruped,44,Greedy-s_r,feas_improve,10.8583,2.67068,80,0,1,80,4,1,1954.56
quadruped,44,Greedy-χ,feas_improve,11.7088,2.67068,80,0,1,80,7,1,1870.89
quadruped,45,Uniform,feas_improve,9.84672,2.67068,80,0,1,80,6,1,1730.69
quadruped,45,UCB,feas_improve,8.97122,2.67068,80,0,1,80,6,1,2097.04
quadruped,45,BO-EI,feas_improve,8.97122,2.67068,80,0,1,80,6,1,2804.93
quadruped,45,Greedy-s_r,feas_improve,8.97122,2.67068,80,0,1,80,6,1,2318.49
quadruped,45,Greedy-χ,feas_improve,10.8111,2.67068,80,0,1,80,7,1,2099.47
quadruped,46,Uniform,feas_improve,10.3418,2.67068,80,0,1,80,7,1,1892.1
quadruped,46,UCB,feas_improve,10.3418,2.67068,80,0,1,80,7,1,1958.47
quadruped,46,BO-EI,feas_improve,10.3418,2.67068,80,0,1,80,7,1,1586.82
quadruped,46,Greedy-s_r,feas_improve,10.3418,2.67068,80,0,1,80,7,1,1925.9
quadruped,46,Greedy-χ,feas_improve,10.3418,2.67068,80,0,1,80,7,1,2288.54
