seed,batch,cum_iters,j_before,j_after,viol,chi,r_feas,feasible
0,0,10,1341.45,1015.04,0,0.0177794,50,1
0,1,20,1015.04,900.223,0,0.670635,50,1
0,2,30,900.223,871.257,0,0.155327,29.2559,1
0,3,40,871.257,871.257,0,2.12338,0,1
0,4,50,871.257,871.257,0,2.12338,0,1
0,5,60,871.257,871.257,0,2.12338,0,1
0,6,70,871.257,871.257,0,2.12338,0,1
0,7,80,871.257,871.257,0,2.12338,0,1
1,0,10,610.258,554.853,0,0.00178699,50,1
1,1,16,554.853,538.905,0,0.0013461,16.213,1
2,0,10,545.803,539.515,0,0.00292739,6.35085,1
2,1,13,539.515,538.875,0,0.00133447,0.6613,1
