solver,problem,seed,converged,feasible,termination_reason,final_cost,eq_violation,ineq_violation,dynamics_violation,iterations,time_ms,chi
aligator,pendulum_swingup,0,1,1,CONVERGED,186.67432673024763,0.0,0.0,0.0,5,163.71281701140106,0.0
aligator,double_integrator_reach,0,1,1,CONVERGED,6.665675609597025,0.0,0.0,0.0,1,18.13211402622983,0.0
aligator,cartpole_stabilize,0,1,1,CONVERGED,35.21993519462986,0.0,0.0,0.0,5,170.08705902844667,0.0
aligator,quadrotor_hover,0,1,1,CONVERGED,4466.072336473164,0.0,4.2554040259508034e-05,0.0,122,980.3672360139899,0.0
aligator,nav_2d_bicycle,0,1,1,CONVERGED,538.8338537350587,0.0,1.7561744503069576e-06,0.0,156,8687.667462974787,0.0
aligator,pendulum_swingup,1,1,1,CONVERGED,186.67432673024763,0.0,0.0,0.0,5,67.00489699142054,0.0
aligator,double_integrator_reach,1,1,1,CONVERGED,6.665675609597025,0.0,0.0,0.0,1,10.898884967900813,0.0
aligator,cartpole_stabilize,1,1,1,CONVERGED,114.53690097617073,0.0,0.0,0.0,6,111.68989399448037,0.0
aligator,quadrotor_hover,1,0,1,MAX_ITER,9851.595173183314,0.0,0.0,0.0,113,2110.9242429956794,0.0
aligator,nav_2d_bicycle,1,0,1,MAX_ITER,556.1106174000777,0.0,0.0,0.0,147,12299.575929937419,0.0
aligator,pendulum_swingup,2,1,1,CONVERGED,186.67432673024763,0.0,0.0,0.0,5,64.79276798199862,0.0
aligator,double_integrator_reach,2,1,1,CONVERGED,6.665675609597025,0.0,0.0,0.0,1,14.193303999491036,0.0
aligator,cartpole_stabilize,2,1,1,CONVERGED,77.32808059470324,0.0,0.0,0.0,5,101.82637500111014,0.0
aligator,quadrotor_hover,2,0,1,MAX_ITER,5330.372997582147,0.0,0.0,0.0,54,1308.8542149635032,0.0
aligator,nav_2d_bicycle,2,0,1,MAX_ITER,552.62085837445,0.0,0.0,0.0,189,17956.527938018553,0.0
